company_code,company_name,business_entity,no_deed,date_deed,office_flag,office_address,contact_person
14357,3G TRUST,CV,,,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",
16333,4 SRIKANDI CALLIE,CV,4,2021-05-07,,Desa Molombulahe Kecamatan Paguyaman Kabupaten Boalemo Provinsi Gorontalo,
5,AAL RIZKI TADANG PALIE,PT,,,Headquarter,Jalan Gatot Subroto 216 Jakarta Selatan,-
16620,AASAAK AFAFA JAYA,PT,29,2021-11-29,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",
16193,ABADI BERKAH ALAM,CV,AHU-0017682-AH.01.14 Tahun 2021,2021-03-02,,Desa Wolo,
19988,ABADI DUA PUTRI,PT,09,2021-08-24,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",
16,ABADI OGAN CEMERLANG,PT,,,,JL. IR. H. DJUANDA NO 35 A CIPUTAT,
18772,ABADI SILIKA PERSADA,PT,13,2022-05-24,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",
14676,ABBASY ANUGERAH JAYA,PT,,,,"Jl. Meranti Talang Sari Perumahan Maple Village No. A5, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur",
13239,ABDULLAH DAMAR BAMANTARA,PT,,,,"Pondok Mentari Indah Blok C No. 9, RT. 37, Balikpapan",
32,ABE JAYA PERKASA,PT,,,,"Ged. Sinarmas MSIG Tower Lt. 9, Jl. Jend. Sudirman Kav.21 RT 010 RW 001 Karet Setiabudi Jakarta Selatan",
15800,ABHINAYA BERLIAN UTAMA,CV,70,2021-01-27,,Villa Puncak Tidar D-21 Karangwidoro Dau Kab. Malang,
16788,ABHI NAYA SARANA,PT,,,,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",
18613,ABHIPRAYA NAWASENA ADHIKARA,PT,09,2022-02-16,,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",
19051,ABIMANYU BARA UTAMA,PT,,,,"JALAN PANTI NOMOR:000, Desa/Kelurahan Sumur Dewa, Kec. Selebar,
Kota Bengkulu, Provinsi Bengkulu,
Kode Pos: 38216",
19114,ABIMAS JAYA BARA,PT,,,,"Jalan Pangeran Suriansyah Ujung Nomor 40, Desa/Kelurahan Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru, Provinsi Kalimantan Selatan, Kode Pos: 70714",
36,ABISHA BUMI PERSADA,PT,,,,JL. H. NAWI RAYA NO. 45 RT 006 RW 002 KELURAHAN GANDARIA SELATAN KECAMATAN CILANDAK KOTA JAKARTA,
9987,ABSAH INTERNASIONAL,PT,,,,"JALAN WR SUPRATMAN, JATAYU RESIDENCE NO. A7-8, Desa/Kelurahan Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Provinsi Jawa Tengah, Kode Pos: 51141",
18514,ABU BARA INDONESIA,PT,,,,"JL. PUE BONGO NO. 31 RT 001 RW 001, Desa/Kelurahan Boyaoge, Kec.
Tatanga, Kota Palu, Provinsi Sulawesi Tengah,",
18996,ACCEL RESOURCES INDONESIA,PT,,,,"Gedung Kopi Lt 3 Unit 301, Jl. RP. Soeroso No.20, , Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10330",
14357,3G TRUST,CV,,,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",
16333,4 SRIKANDI CALLIE,CV,4,2021-05-07,,Desa Molombulahe Kecamatan Paguyaman Kabupaten Boalemo Provinsi Gorontalo,
5,AAL RIZKI TADANG PALIE,PT,,,Headquarter,Jalan Gatot Subroto 216 Jakarta Selatan,-
16620,AASAAK AFAFA JAYA,PT,29,2021-11-29,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",
16193,ABADI BERKAH ALAM,CV,AHU-0017682-AH.01.14 Tahun 2021,2021-03-02,,Desa Wolo,
19988,ABADI DUA PUTRI,PT,09,2021-08-24,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",
16,ABADI OGAN CEMERLANG,PT,,,,JL. IR. H. DJUANDA NO 35 A CIPUTAT,
18772,ABADI SILIKA PERSADA,PT,13,2022-05-24,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",
14676,ABBASY ANUGERAH JAYA,PT,,,,"Jl. Meranti Talang Sari Perumahan Maple Village No. A5, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur",
13239,ABDULLAH DAMAR BAMANTARA,PT,,,,"Pondok Mentari Indah Blok C No. 9, RT. 37, Balikpapan",
32,ABE JAYA PERKASA,PT,,,,"Ged. Sinarmas MSIG Tower Lt. 9, Jl. Jend. Sudirman Kav.21 RT 010 RW 001 Karet Setiabudi Jakarta Selatan",
15800,ABHINAYA BERLIAN UTAMA,CV,70,2021-01-27,,Villa Puncak Tidar D-21 Karangwidoro Dau Kab. Malang,
16788,ABHI NAYA SARANA,PT,,,,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",
18613,ABHIPRAYA NAWASENA ADHIKARA,PT,09,2022-02-16,,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",
19051,ABIMANYU BARA UTAMA,PT,,,,"JALAN PANTI NOMOR:000, Desa/Kelurahan Sumur Dewa, Kec. Selebar,
Kota Bengkulu, Provinsi Bengkulu,
Kode Pos: 38216",
19114,ABIMAS JAYA BARA,PT,,,,"Jalan Pangeran Suriansyah Ujung Nomor 40, Desa/Kelurahan Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru, Provinsi Kalimantan Selatan, Kode Pos: 70714",
36,ABISHA BUMI PERSADA,PT,,,,JL. H. NAWI RAYA NO. 45 RT 006 RW 002 KELURAHAN GANDARIA SELATAN KECAMATAN CILANDAK KOTA JAKARTA,
9987,ABSAH INTERNASIONAL,PT,,,,"JALAN WR SUPRATMAN, JATAYU RESIDENCE NO. A7-8, Desa/Kelurahan Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Provinsi Jawa Tengah, Kode Pos: 51141",
18514,ABU BARA INDONESIA,PT,,,,"JL. PUE BONGO NO. 31 RT 001 RW 001, Desa/Kelurahan Boyaoge, Kec.
Tatanga, Kota Palu, Provinsi Sulawesi Tengah,",
18996,ACCEL RESOURCES INDONESIA,PT,,,,"Gedung Kopi Lt 3 Unit 301, Jl. RP. Soeroso No.20, , Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10330",
14357,3G TRUST,CV,,,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",
16333,4 SRIKANDI CALLIE,CV,4,2021-05-07,,Desa Molombulahe Kecamatan Paguyaman Kabupaten Boalemo Provinsi Gorontalo,
5,AAL RIZKI TADANG PALIE,PT,,,Headquarter,Jalan Gatot Subroto 216 Jakarta Selatan,-
16620,AASAAK AFAFA JAYA,PT,29,2021-11-29,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",
16193,ABADI BERKAH ALAM,CV,AHU-0017682-AH.01.14 Tahun 2021,2021-03-02,,Desa Wolo,
19988,ABADI DUA PUTRI,PT,09,2021-08-24,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",
16,ABADI OGAN CEMERLANG,PT,,,,JL. IR. H. DJUANDA NO 35 A CIPUTAT,
18772,ABADI SILIKA PERSADA,PT,13,2022-05-24,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",
14676,ABBASY ANUGERAH JAYA,PT,,,,"Jl. Meranti Talang Sari Perumahan Maple Village No. A5, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur",
13239,ABDULLAH DAMAR BAMANTARA,PT,,,,"Pondok Mentari Indah Blok C No. 9, RT. 37, Balikpapan",
32,ABE JAYA PERKASA,PT,,,,"Ged. Sinarmas MSIG Tower Lt. 9, Jl. Jend. Sudirman Kav.21 RT 010 RW 001 Karet Setiabudi Jakarta Selatan",
15800,ABHINAYA BERLIAN UTAMA,CV,70,2021-01-27,,Villa Puncak Tidar D-21 Karangwidoro Dau Kab. Malang,
16788,ABHI NAYA SARANA,PT,,,,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",
18613,ABHIPRAYA NAWASENA ADHIKARA,PT,09,2022-02-16,,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",
19051,ABIMANYU BARA UTAMA,PT,,,,"JALAN PANTI NOMOR:000, Desa/Kelurahan Sumur Dewa, Kec. Selebar,
Kota Bengkulu, Provinsi Bengkulu,
Kode Pos: 38216",
19114,ABIMAS JAYA BARA,PT,,,,"Jalan Pangeran Suriansyah Ujung Nomor 40, Desa/Kelurahan Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru, Provinsi Kalimantan Selatan, Kode Pos: 70714",
36,ABISHA BUMI PERSADA,PT,,,,JL. H. NAWI RAYA NO. 45 RT 006 RW 002 KELURAHAN GANDARIA SELATAN KECAMATAN CILANDAK KOTA JAKARTA,
9987,ABSAH INTERNASIONAL,PT,,,,"JALAN WR SUPRATMAN, JATAYU RESIDENCE NO. A7-8, Desa/Kelurahan Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Provinsi Jawa Tengah, Kode Pos: 51141",
18514,ABU BARA INDONESIA,PT,,,,"JL. PUE BONGO NO. 31 RT 001 RW 001, Desa/Kelurahan Boyaoge, Kec.
Tatanga, Kota Palu, Provinsi Sulawesi Tengah,",
18996,ACCEL RESOURCES INDONESIA,PT,,,,"Gedung Kopi Lt 3 Unit 301, Jl. RP. Soeroso No.20, , Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10330",
14357,3G TRUST,CV,,,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",
16333,4 SRIKANDI CALLIE,CV,4,2021-05-07,,Desa Molombulahe Kecamatan Paguyaman Kabupaten Boalemo Provinsi Gorontalo,
5,AAL RIZKI TADANG PALIE,PT,,,Headquarter,Jalan Gatot Subroto 216 Jakarta Selatan,-
16620,AASAAK AFAFA JAYA,PT,29,2021-11-29,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",
16193,ABADI BERKAH ALAM,CV,AHU-0017682-AH.01.14 Tahun 2021,2021-03-02,,Desa Wolo,
19988,ABADI DUA PUTRI,PT,09,2021-08-24,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",
16,ABADI OGAN CEMERLANG,PT,,,,JL. IR. H. DJUANDA NO 35 A CIPUTAT,
18772,ABADI SILIKA PERSADA,PT,13,2022-05-24,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",
14676,ABBASY ANUGERAH JAYA,PT,,,,"Jl. Meranti Talang Sari Perumahan Maple Village No. A5, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur",
13239,ABDULLAH DAMAR BAMANTARA,PT,,,,"Pondok Mentari Indah Blok C No. 9, RT. 37, Balikpapan",
32,ABE JAYA PERKASA,PT,,,,"Ged. Sinarmas MSIG Tower Lt. 9, Jl. Jend. Sudirman Kav.21 RT 010 RW 001 Karet Setiabudi Jakarta Selatan",
15800,ABHINAYA BERLIAN UTAMA,CV,70,2021-01-27,,Villa Puncak Tidar D-21 Karangwidoro Dau Kab. Malang,
16788,ABHI NAYA SARANA,PT,,,,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",
18613,ABHIPRAYA NAWASENA ADHIKARA,PT,09,2022-02-16,,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",
19051,ABIMANYU BARA UTAMA,PT,,,,"JALAN PANTI NOMOR:000, Desa/Kelurahan Sumur Dewa, Kec. Selebar,
Kota Bengkulu, Provinsi Bengkulu,
Kode Pos: 38216",
19114,ABIMAS JAYA BARA,PT,,,,"Jalan Pangeran Suriansyah Ujung Nomor 40, Desa/Kelurahan Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru, Provinsi Kalimantan Selatan, Kode Pos: 70714",
36,ABISHA BUMI PERSADA,PT,,,,JL. H. NAWI RAYA NO. 45 RT 006 RW 002 KELURAHAN GANDARIA SELATAN KECAMATAN CILANDAK KOTA JAKARTA,
9987,ABSAH INTERNASIONAL,PT,,,,"JALAN WR SUPRATMAN, JATAYU RESIDENCE NO. A7-8, Desa/Kelurahan Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Provinsi Jawa Tengah, Kode Pos: 51141",
18514,ABU BARA INDONESIA,PT,,,,"JL. PUE BONGO NO. 31 RT 001 RW 001, Desa/Kelurahan Boyaoge, Kec.
Tatanga, Kota Palu, Provinsi Sulawesi Tengah,",
18996,ACCEL RESOURCES INDONESIA,PT,,,,"Gedung Kopi Lt 3 Unit 301, Jl. RP. Soeroso No.20, , Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10330",
14357,3G TRUST,CV,,,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",
16333,4 SRIKANDI CALLIE,CV,4,2021-05-07,,Desa Molombulahe Kecamatan Paguyaman Kabupaten Boalemo Provinsi Gorontalo,
5,AAL RIZKI TADANG PALIE,PT,,,Headquarter,Jalan Gatot Subroto 216 Jakarta Selatan,-
16620,AASAAK AFAFA JAYA,PT,29,2021-11-29,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",
16193,ABADI BERKAH ALAM,CV,AHU-0017682-AH.01.14 Tahun 2021,2021-03-02,,Desa Wolo,
19988,ABADI DUA PUTRI,PT,09,2021-08-24,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",
16,ABADI OGAN CEMERLANG,PT,,,,JL. IR. H. DJUANDA NO 35 A CIPUTAT,
18772,ABADI SILIKA PERSADA,PT,13,2022-05-24,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",
14676,ABBASY ANUGERAH JAYA,PT,,,,"Jl. Meranti Talang Sari Perumahan Maple Village No. A5, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur",
13239,ABDULLAH DAMAR BAMANTARA,PT,,,,"Pondok Mentari Indah Blok C No. 9, RT. 37, Balikpapan",
32,ABE JAYA PERKASA,PT,,,,"Ged. Sinarmas MSIG Tower Lt. 9, Jl. Jend. Sudirman Kav.21 RT 010 RW 001 Karet Setiabudi Jakarta Selatan",
15800,ABHINAYA BERLIAN UTAMA,CV,70,2021-01-27,,Villa Puncak Tidar D-21 Karangwidoro Dau Kab. Malang,
16788,ABHI NAYA SARANA,PT,,,,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",
18613,ABHIPRAYA NAWASENA ADHIKARA,PT,09,2022-02-16,,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",
19051,ABIMANYU BARA UTAMA,PT,,,,"JALAN PANTI NOMOR:000, Desa/Kelurahan Sumur Dewa, Kec. Selebar,
Kota Bengkulu, Provinsi Bengkulu,
Kode Pos: 38216",
19114,ABIMAS JAYA BARA,PT,,,,"Jalan Pangeran Suriansyah Ujung Nomor 40, Desa/Kelurahan Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru, Provinsi Kalimantan Selatan, Kode Pos: 70714",
36,ABISHA BUMI PERSADA,PT,,,,JL. H. NAWI RAYA NO. 45 RT 006 RW 002 KELURAHAN GANDARIA SELATAN KECAMATAN CILANDAK KOTA JAKARTA,
9987,ABSAH INTERNASIONAL,PT,,,,"JALAN WR SUPRATMAN, JATAYU RESIDENCE NO. A7-8, Desa/Kelurahan Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Provinsi Jawa Tengah, Kode Pos: 51141",
18514,ABU BARA INDONESIA,PT,,,,"JL. PUE BONGO NO. 31 RT 001 RW 001, Desa/Kelurahan Boyaoge, Kec.
Tatanga, Kota Palu, Provinsi Sulawesi Tengah,",
18996,ACCEL RESOURCES INDONESIA,PT,,,,"Gedung Kopi Lt 3 Unit 301, Jl. RP. Soeroso No.20, , Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10330",
14357,3G TRUST,CV,,,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",
16333,4 SRIKANDI CALLIE,CV,4,2021-05-07,,Desa Molombulahe Kecamatan Paguyaman Kabupaten Boalemo Provinsi Gorontalo,
5,AAL RIZKI TADANG PALIE,PT,,,Headquarter,Jalan Gatot Subroto 216 Jakarta Selatan,-
16620,AASAAK AFAFA JAYA,PT,29,2021-11-29,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",
16193,ABADI BERKAH ALAM,CV,AHU-0017682-AH.01.14 Tahun 2021,2021-03-02,,Desa Wolo,
19988,ABADI DUA PUTRI,PT,09,2021-08-24,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",
16,ABADI OGAN CEMERLANG,PT,,,,JL. IR. H. DJUANDA NO 35 A CIPUTAT,
18772,ABADI SILIKA PERSADA,PT,13,2022-05-24,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",
14676,ABBASY ANUGERAH JAYA,PT,,,,"Jl. Meranti Talang Sari Perumahan Maple Village No. A5, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur",
13239,ABDULLAH DAMAR BAMANTARA,PT,,,,"Pondok Mentari Indah Blok C No. 9, RT. 37, Balikpapan",
32,ABE JAYA PERKASA,PT,,,,"Ged. Sinarmas MSIG Tower Lt. 9, Jl. Jend. Sudirman Kav.21 RT 010 RW 001 Karet Setiabudi Jakarta Selatan",
15800,ABHINAYA BERLIAN UTAMA,CV,70,2021-01-27,,Villa Puncak Tidar D-21 Karangwidoro Dau Kab. Malang,
16788,ABHI NAYA SARANA,PT,,,,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",
18613,ABHIPRAYA NAWASENA ADHIKARA,PT,09,2022-02-16,,"Jalan Purnama No 7 Samping Gg Perintis 5 RT 004 RW 015
Kelurahan Akcaya  Kecamatan Pontianak Selatan Kota Pontianak, Kalimantan Barat",
19051,ABIMANYU BARA UTAMA,PT,,,,"JALAN PANTI NOMOR:000, Desa/Kelurahan Sumur Dewa, Kec. Selebar,
Kota Bengkulu, Provinsi Bengkulu,
Kode Pos: 38216",
19114,ABIMAS JAYA BARA,PT,,,,"Jalan Pangeran Suriansyah Ujung Nomor 40, Desa/Kelurahan Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru, Provinsi Kalimantan Selatan, Kode Pos: 70714",
36,ABISHA BUMI PERSADA,PT,,,,JL. H. NAWI RAYA NO. 45 RT 006 RW 002 KELURAHAN GANDARIA SELATAN KECAMATAN CILANDAK KOTA JAKARTA,
9987,ABSAH INTERNASIONAL,PT,,,,"JALAN WR SUPRATMAN, JATAYU RESIDENCE NO. A7-8, Desa/Kelurahan Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Provinsi Jawa Tengah, Kode Pos: 51141",
18514,ABU BARA INDONESIA,PT,,,,"JL. PUE BONGO NO. 31 RT 001 RW 001, Desa/Kelurahan Boyaoge, Kec.
Tatanga, Kota Palu, Provinsi Sulawesi Tengah,",
18996,ACCEL RESOURCES INDONESIA,PT,,,,"Gedung Kopi Lt 3 Unit 301, Jl. RP. Soeroso No.20, , Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10330",
14357,3G TRUST,CV,,,,"JL. ALEXANDER RT 002/001, KEL. BACANG, KEC. BUKIT INTAN, PANGKALPINANG",
16333,4 SRIKANDI CALLIE,CV,4,2021-05-07,,Desa Molombulahe Kecamatan Paguyaman Kabupaten Boalemo Provinsi Gorontalo,
5,AAL RIZKI TADANG PALIE,PT,,,Headquarter,Jalan Gatot Subroto 216 Jakarta Selatan,-
16620,AASAAK AFAFA JAYA,PT,29,2021-11-29,,"Kampung Pesantren RT.019 RW.007, Kel. Pasrepan, Kec. Pasrepan, Kab. Pasuruan, Jawa Timur",
16193,ABADI BERKAH ALAM,CV,AHU-0017682-AH.01.14 Tahun 2021,2021-03-02,,Desa Wolo,
19988,ABADI DUA PUTRI,PT,09,2021-08-24,,"Bambakoro, Desa/Kelurahan Bambakoro, Kec. Lariang, Kab. Pasangkayu, Provinsi Sulawesi Barat,",
16,ABADI OGAN CEMERLANG,PT,,,,JL. IR. H. DJUANDA NO 35 A CIPUTAT,
18772,ABADI SILIKA PERSADA,PT,13,2022-05-24,,"Ruko Beach Theme Park Golf Island Blok E Nomor 210-212, Desa/Kelurahan Kamal Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI Jakarta.",
14676,ABBASY ANUGERAH JAYA,PT,,,,"Jl. Meranti Talang Sari Perumahan Maple Village No. A5, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur",
13239,ABDULLAH DAMAR BAMANTARA,PT,,,,"Pondok Mentari Indah Blok C No. 9, RT. 37, Balikpapan",
32,ABE JAYA PERKASA,PT,,,,"Ged. Sinarmas MSIG Tower Lt. 9, Jl. Jend. Sudirman Kav.21 RT 010 RW 001 Karet Setiabudi Jakarta Selatan",
15800,ABHINAYA BERLIAN UTAMA,CV,70,2021-01-27,,Villa Puncak Tidar D-21 Karangwidoro Dau Kab. Malang,
16788,ABHI NAYA SARANA,PT,,,,"Gedung Ascom Jl. Matraman Raya No. 67 , Desa/Kelurahan Palmeriam,
Kec. Matraman, Kota Adm. Jakarta Timur Kode Pos: 13140",
